# Number of flights	Number of gates needed
131	18
121	20
365	43
188	26
191	22
1182	127
139	20
573	67
176	21
239	32
289	37
940	101
169	27
600	69
865	88
349	43
642	74
446	49
560	65
262	30
399	54
116	20
270	37
359	51
153	19
869	117
431	54
481	57
130	21
103	14
178	21
1205	150
178	22
145	22
224	28
1438	166
206	28
472	78
268	35
195	28
527	58
173	23
178	29
387	47
510	55
188	28
114	16
1455	157
110	15
417	51
387	53
346	52
902	103
296	47
176	26
147	19
106	18
112	17
119	20
385	64
233	29
230	32
274	49
1291	151
150	19
105	14
608	67
199	28
259	40
321	36
934	107
172	28
587	74
928	96
356	45
713	74
468	56
265	29
550	63
134	19
319	45
358	53
147	21
937	122
421	67
449	60
358	66
124	18
167	22
401	77
217	31
164	26
265	33
2038	227
238	29
642	86
301	40
224	29
563	62
193	24
259	33
984	113
436	69
227	28
121	21
1531	166
116	15
120	15
382	48
1281	159
462	65
118	20
273	46
208	26
142	19
111	17
109	15
120	20
407	47
217	29
215	32
159	28
1248	139
174	21
102	13
585	65
185	23
267	38
314	36
1201	130
162	24
560	65
897	95
324	40
690	74
441	50
280	32
526	63
138	20
323	43
268	42
134	20
940	119
318	52
429	51
295	47
125	18
146	20
341	39
200	30
179	24
259	35
2014	215
224	28
630	84
285	35
224	29
564	60
186	24
240	29
114	17
267	30
226	29
113	19
1521	161
111	15
122	15
326	41
1261	157
439	61
920	103
228	34
203	26
123	17
120	20
353	44
188	27
177	24
1133	138
134	18
524	58
162	23
219	34
301	36
946	125
181	25
640	77
788	77
350	45
648	75
480	57
255	30
510	63
127	18
252	38
348	45
135	19
877	108
370	52
393	50
411	51
119	17
164	24
346	49
173	30
175	29
200	29
1868	205
172	25
590	81
260	37
200	32
521	62
151	21
164	26
101	15
431	49
192	26
100	16
1300	155
421	55
392	45
1041	135
410	58
815	96
263	47
171	23
137	19
122	20
399	45
203	26
203	23
213	38
1202	131
124	17
589	61
186	23
243	35
296	36
519	65
151	24
548	69
862	87
339	40
671	74
471	56
259	31
508	60
286	37
362	50
138	18
874	108
394	56
419	52
467	55
133	21
156	23
457	51
187	25
151	23
1917	212
208	26
616	83
288	35
199	28
540	60
176	22
211	28
104	15
440	61
214	28
1435	149
109	14
113	14
346	45
1116	135
337	56
846	95
254	42
196	25
134	18
122	19
412	61
230	31
217	30
1244	145
130	17
616	66
195	25
259	37
291	35
344	45
129	19
535	66
909	98
324	39
704	75
454	52
543	72
258	29
469	61
327	43
372	50
110	16
887	117
411	49
433	52
370	57
121	19
141	21
1161	148
211	29
118	18
233	30
1892	205
216	27
573	76
316	38
213	25
533	63
184	21
266	35
115	19
348	59
222	29
1461	155
115	15
110	15
316	39
231	43
373	54
877	98
268	42
200	26
116	15
106	18
356	50
208	26
205	27
1130	133
140	18
547	68
178	23
267	38
260	38
689	93
148	23
521	69
802	95
315	40
680	77
449	50
462	55
233	27
470	56
326	40
370	48
121	16
769	115
495	56
425	57
435	53
120	17
102	17
132	19
1009	145
206	31
102	16
237	31
1853	200
202	25
526	74
354	41
194	24
478	65
172	22
255	33
108	20
382	50
207	24
104	14
1468	157
101	17
101	15
328	41
252	32
293	46
773	98
254	46
211	28
124	18
100	15
104	18
374	51
216	25
220	30
107	15
1145	137
171	23
659	72
196	26
304	43
275	39
1278	143
172	23
564	73
836	98
342	44
708	78
453	52
565	61
236	27
519	62
139	19
343	43
395	52
139	20
858	113
562	60
474	63
545	64
150	21
114	16
142	20
1076	155
208	32
102	13
169	29
265	35
1991	218
213	25
542	78
395	48
230	30
483	62
174	26
266	35
112	19
488	60
224	27
143	18
1494	157
113	16
111	17
360	45
433	54
453	61
838	103
258	46
224	29
120	17
108	18
112	19
404	54
230	29
224	29
110	15
1217	147
177	28
677	72
221	29
311	42
289	38
1282	155
184	26
589	77
895	98
355	47
745	78
482	55
625	72
242	27
537	64
152	21
342	43
407	53
148	21
874	114
601	65
479	64
586	69
157	23
120	17
144	20
1189	165
223	32
109	16
219	36
293	38
2091	224
222	26
581	78
404	47
242	31
510	63
173	24
256	31
108	15
523	64
233	26
142	19
1506	160
114	17
120	18
379	46
425	54
520	65
981	113
293	48
230	30
122	17
101	14
111	18
118	19
407	55
231	27
227	29
116	17
1221	143
177	28
678	72
215	28
314	43
289	38
1321	144
177	24
582	74
901	101
353	46
755	79
483	55
590	78
258	28
537	64
152	20
347	43
403	54
149	21
893	117
570	65
480	62
585	71
162	23
126	17
144	20
1190	163
223	32
109	15
225	39
289	38
2048	223
227	26
587	79
389	47
242	32
513	64
184	25
275	37
114	19
524	67
235	27
137	18
1528	160
113	17
121	17
377	46
426	55
528	72
988	116
302	50
233	29
115	19
296	41
154	23
151	23
986	129
113	18
505	56
141	19
197	30
229	33
1023	125
180	30
594	77
699	87
306	42
624	76
474	55
238	28
380	55
114	17
233	37
296	41
124	17
721	110
323	42
371	54
114	17
167	25
874	139
151	25
128	28
173	26
