# Slack (mins)	Number of gate collisions
0	15
0	25
0	32
0	27
0	27
0	89
0	134
0	10
0	120
0	27
0	51
0	39
0	271
0	20
0	137
0	161
0	72
0	19
0	73
0	48
0	106
0	10
0	56
0	92
0	27
0	93
0	143
0	31
0	21
0	11
0	28
0	138
0	17
0	69
0	512
0	33
0	76
0	57
0	30
0	47
0	41
0	197
0	21
0	64
0	63
0	21
0	14
0	423
0	28
0	145
0	231
0	68
0	243
0	29
0	31
0	21
0	3
0	5
0	25
0	1
0	24
5	4
0	25
0	97
0	9
0	4
0	129
0	23
0	21
0	29
0	173
0	21
0	76
0	110
0	41
0	188
0	45
0	43
0	131
0	2
0	40
0	22
0	23
0	139
0	41
0	59
0	30
8	0
0	9
0	20
0	8
0	8
0	32
0	412
0	35
0	82
0	26
0	31
0	44
0	12
0	23
0	199
0	43
0	13
2	2
0	363
5	3
0	17
0	46
0	198
0	27
10	0
0	20
0	17
0	10
0	11
0	12
0	18
0	39
0	17
5	0
0	13
0	127
0	32
1	1
0	112
0	25
0	15
0	27
0	273
0	25
0	109
0	112
0	70
0	168
0	68
0	53
0	133
0	12
0	34
0	19
0	16
0	114
0	112
0	116
0	93
0	12
0	17
0	74
0	8
0	18
0	50
0	547
0	38
0	78
0	40
0	27
0	50
0	34
0	42
10	1
0	60
0	20
0	4
0	481
5	1
0	23
0	47
0	188
0	22
0	234
0	17
0	37
0	2
0	20
0	31
0	24
0	11
0	69
0	14
0	84
0	11
0	10
0	24
0	121
0	30
0	90
0	169
0	65
0	141
0	30
0	54
0	104
0	12
0	50
0	28
0	12
0	116
0	22
0	57
0	24
0	4
0	28
0	70
0	2
0	6
0	36
0	414
0	12
0	74
0	12
0	43
0	31
0	13
0	12
0	13
0	44
0	24
0	6
0	295
0	16
0	79
0	187
0	23
0	156
0	31
0	16
0	6
0	24
0	43
0	39
0	31
0	18
0	109
0	19
0	143
0	36
0	14
0	23
0	63
0	25
0	47
0	141
0	78
0	157
0	33
0	35
0	138
0	90
0	39
0	16
0	109
0	27
0	65
0	42
0	20
0	22
0	55
0	13
0	9
0	394
0	29
0	91
0	36
0	30
0	37
0	33
0	36
0	13
0	38
0	20
0	513
0	4
0	13
0	39
0	215
0	15
0	251
0	28
0	46
0	10
0	22
0	3
0	5
5	4
0	25
0	97
0	16
0	125
0	20
0	16
0	25
0	23
0	16
0	71
0	99
0	47
0	20
0	44
0	58
0	62
0	49
0	32
0	13
0	118
0	121
0	57
0	23
0	7
0	11
0	24
0	2
0	46
0	548
0	23
0	88
0	36
0	29
0	33
0	40
0	173
0	24
10	0
0	22
0	11
0	463
5	3
0	22
0	22
0	163
0	21
0	197
0	26
0	24
0	14
0	18
7	9
15	2
0	11
0	100
0	5
0	97
0	17
0	31
0	9
0	252
0	23
0	70
0	92
0	52
0	3
0	58
0	97
0	29
0	109
0	52
0	43
0	8
0	109
0	146
0	45
0	108
0	12
0	5
0	11
0	23
0	4
0	38
0	562
0	38
0	67
0	32
0	47
0	21
0	25
0	203
0	24
5	2
0	51
0	15
0	2
0	482
0	0
0	8
0	39
0	208
0	10
0	182
0	21
0	44
0	13
0	16
0	12
10	7
10	7
0	11
10	0
0	93
0	18
0	136
0	8
0	62
0	21
0	418
0	32
0	93
0	86
0	61
0	21
0	42
0	123
0	35
0	128
1	17
0	50
0	45
0	15
0	105
0	132
0	53
0	46
0	12
0	7
0	17
0	90
0	11
0	12
0	21
0	474
0	41
0	62
0	40
0	42
0	23
0	30
0	205
0	20
5	1
0	53
0	15
0	13
0	514
0	1
0	8
0	47
0	231
0	43
0	168
0	33
0	45
0	9
0	18
0	18
0	7
10	3
0	15
9	2
0	99
0	13
0	166
0	29
0	31
0	23
0	228
0	32
0	70
0	108
0	44
0	9
0	33
0	57
0	39
0	100
1	15
0	51
0	45
0	15
0	101
0	132
0	36
0	44
0	19
0	5
0	6
0	51
0	11
0	8
0	26
0	588
0	62
0	65
0	50
0	55
0	23
0	20
0	246
0	40
0	21
0	40
0	19
0	5
0	458
0	2
0	11
0	57
0	180
0	63
0	224
0	32
0	50
0	8
0	9
0	11
0	18
8	9
10	6
0	9
0	5
0	101
0	6
0	174
0	23
0	42
0	19
0	432
0	31
0	86
0	110
0	42
0	30
0	56
0	20
0	31
0	87
2	18
0	44
0	29
0	16
0	124
0	78
0	43
0	36
0	22
0	7
0	17
0	121
0	9
0	7
0	29
0	545
0	69
0	63
0	22
0	47
0	23
0	23
0	215
0	27
5	0
0	49
0	15
0	12
0	489
0	0
0	12
0	51
0	214
0	31
0	184
0	28
0	48
0	12
0	25
5	4
5	4
0	95
1	7
0	95
0	13
0	25
0	2
0	269
0	30
0	144
0	102
0	79
0	4
0	29
0	32
0	52
0	12
0	57
0	30
0	18
0	112
0	50
0	20
0	11
0	19
0	24
0	5
0	22
0	357
0	11
0	72
0	26
0	15
0	19
0	13
0	196
0	14
0	61
0	24
0	17
0	369
0	11
0	45
0	167
0	16
0	174
0	26
0	19
0	10
0	15
0	6
0	34
0	9
0	39
0	16
0	243
0	17
0	152
0	50
0	85
0	31
0	502
0	26
0	69
0	190
0	41
0	24
0	77
0	172
0	37
0	122
0	7
0	34
0	60
0	16
0	115
0	151
0	96
0	9
0	6
0	15
0	113
0	22
0	54
0	728
0	35
0	71
0	108
0	60
0	20
0	32
0	131
0	31
0	67
0	47
0	21
0	21
0	599
0	17
0	131
0	215
0	90
0	244
0	36
0	45
0	11
0	12
0	7
0	19
2	12
10	7
0	6
4	4
0	92
0	7
0	130
0	30
0	21
0	16
0	344
0	27
0	88
0	116
0	43
0	30
0	34
0	23
0	53
0	102
4	12
0	43
