# Delays	Number of gate collisions
44.4885496183	31
13.4545454545	17
21.5945205479	122
17.1685393258	57
25.0837696335	78
116.201550388	339
34.0084602369	358
37.9064748201	73
18.1954624782	121
23.8522727273	63
42.0334728033	110
34.4948096886	86
67.7436170213	956
21.0532544379	37
31.6433333333	280
24.2820809249	280
22.217765043	127
28.2553191489	80
15.6995515695	87
19.3053435115	32
28.7644110276	176
25.8275862069	29
36.4074074074	103
17.5153203343	97
31.4575163399	53
28.1323360184	166
25.6844547564	188
29.6174636175	118
26.3153846154	49
62.3106796117	25
43.3146067416	59
34.4928571429	299
54.6620689655	53
33.0178571429	117
12.6307371349	395
43.6213592233	67
24.8834745763	62
15.7052238806	73
44.641025641	94
29.715370019	120
22.1387283237	69
35.5856697819	334
40.702247191	61
22.1291989664	134
35.6156862745	166
29.5478723404	45
35.9824561404	29
19.5243986254	535
25.0363636364	43
32.5179856115	236
50.3369294606	701
25.0549132948	96
34.189578714	395
28.0304054054	70
24.1704545455	55
54.5918367347	87
28.641509434	18
47.4642857143	53
9.84033613445	12
29.6363636364	46
54.8669527897	69
38.6652173913	50
158.97810219	187
48.6235476375	352
64.1733333333	75
61.4380952381	35
32.8914473684	226
64.4271356784	78
71.3088803089	94
38.2834890966	101
95.664882227	1177
64.4651162791	95
54.9182282794	373
42.7521551724	310
51.3033707865	195
58.9803646564	500
35.2329059829	154
31.9471698113	43
31.4945454545	238
48.6044776119	63
51.6332288401	121
58.0446927374	50
43.3741496599	86
41.8046958378	266
43.2589073634	216
69.7550111359	253
49.4832402235	105
46.3629032258	28
95.8502994012	93
56.7930174564	79
22.9677419355	29
64.7073170732	38
56.3358490566	148
37.0588812561	1074
40.8697478992	116
28.6791277259	153
36.0265780731	92
69.1473214286	220
39.7815275311	125
46.4404145078	77
55.5482625483	122
40.0264227642	530
96.9770642202	145
31.449339207	66
60.2148760331	37
26.6512083605	760
38.9051724138	24
47.6833333333	72
51.9790575916	196
44.8587041374	583
57.0800865801	188
28.9322033898	17
93.6483516484	95
46.5961538462	143
62.2676056338	101
54.954954955	38
55.8256880734	63
9.4	22
65.7174447174	365
82.3732718894	127
39.8837209302	53
96.5597484277	164
53.4455128205	672
56.7931034483	162
58.4901960784	49
27.358974359	207
49.4864864865	120
73.1797752809	153
51.0127388535	141
60.456286428	1150
49.1358024691	84
72.6125	549
56.2920847269	461
51.1882716049	242
63.7130434783	665
34.8843537415	222
26.875	78
33.0076045627	295
44.4710144928	67
78.6563467492	284
90.0559701493	182
93.0746268657	105
42.4106382979	478
71.751572327	423
98.5384615385	537
104.959322034	321
60.424	76
105.938356164	112
150.607038123	636
33.075	72
41.9273743017	90
62.1814671815	248
27.6509433962	1076
51.7053571429	167
36.8746031746	265
30.8526315789	130
55.7142857143	166
41.7287234043	219
58.2688172043	125
82.85	219
61.9561403509	51
197.850187266	472
58.6725663717	130
62.6637168142	38
19.7731755424	773
50.1981981982	24
50.6885245902	88
75.8987730061	252
47.0737509913	753
37.3758542141	167
44.2869565217	572
143.447368421	193
54.7339901478	135
57.4308943089	81
31.8166666667	23
53.9348441926	200
62.5425531915	114
54.5310734463	82
50.3389232127	432
45.947761194	93
26.4007633588	187
48.9320987654	80
44.0730593607	80
40.8073089701	110
53.7695560254	568
56.3591160221	135
69.1546875	546
66.3020304569	762
62.2057142857	264
64.2299382716	628
23.55	128
16.7960784314	41
25.7411764706	223
32.8188976378	46
52.5317460317	199
61.0402298851	195
81.3259259259	121
46.4344355758	423
43.4081081081	123
58.1221374046	280
97.7420924574	322
49.9075630252	43
148.896341463	173
99.5953757225	332
38.4624277457	45
53.5257142857	59
46.865	149
30.1729122056	911
43.3604651163	83
40.213559322	216
48.4961538462	100
48.65	140
45.575815739	195
38.6688741722	60
38.9268292683	59
50.1584158416	74
175.310904872	552
51.5	79
53.86	52
18.1853846154	450
71.5106888361	240
102.137755102	447
91.4409221902	1137
20.0634146341	61
44.2527607362	538
91.7034220532	142
51.1052631579	81
38.7445255474	37
6.85245901639	12
40.1704260652	192
61.8916256158	150
37.7881773399	130
99.9671361502	122
56.2495840266	557
45.6774193548	81
32.6977928693	396
56.0	131
58.7736625514	124
46.4932432432	126
100.011560694	488
70.0662251656	82
84.9379562044	393
50.6009280742	556
59.7197640118	297
61.5469448584	540
44.4840764331	178
21.6640926641	49
44.5157480315	328
55.1853146853	268
65.8508287293	273
118.384057971	158
45.6041189931	366
76.2335025381	360
72.3866348449	334
109.623126338	335
42.2781954887	64
162.519230769	178
116.301969365	465
32.1336898396	82
65.2582781457	70
54.7955138237	1314
61.0721153846	124
34.5957792208	224
48.4722222222	176
63.6532663317	145
40.7222222222	158
48.9204545455	89
58.0236966825	140
53.8461538462	72
181.375	477
37.5046728972	74
27.7512195122	804
75.495412844	46
47.7433628319	82
79.9710982659	236
77.5286738351	954
80.8991097923	101
39.3758865248	662
92.157480315	139
49.7908163265	123
46.5298507463	54
27.4344262295	17
39.1383495146	74
23.691943128	43
34.3225806452	45
105.108225108	150
40.3577170418	440
66.8692307692	149
30.6363636364	372
43.3179487179	85
73.833976834	167
32.9862542955	112
76.7674418605	253
70.6899224806	69
65.5682242991	411
31.9526952695	331
50.024691358	267
42.9086956522	71
42.2026431718	246
13.2093023256	30
48.3113006397	321
62.5932721713	252
35.3978494624	147
54.0181818182	82
27.2559188275	295
71.6545012165	492
66.3071593533	310
67.5108108108	187
65.1074380165	44
113.134751773	138
73.1473296501	346
73.3644067797	47
85.3261802575	221
52.5745243129	1698
34.0509259259	106
29.3787085515	141
37.503164557	162
68.4507042254	229
34.3489681051	110
44.0054347826	121
48.9900568182	555
59.4398496241	141
30.9826086957	18
54.5747126437	160
39.2162162162	49
35.7672826831	1150
34.0869565217	25
55.6363636364	85
71.7056962025	261
58.3608957795	728
82.144772118	257
54.5393386545	748
75.7985074627	115
52.095	122
43.0086206897	39
9.38679245283	10
21.0252808989	64
16.3883495146	13
20.7804878049	29
27.0460176991	268
58.6	106
30.1828153565	280
45.4325842697	88
41.7565543071	136
17.7423076923	31
54.5108853411	726
49.4797297297	104
47.650671785	250
23.7905236908	199
44.053968254	213
27.0913461538	62
33.2360801782	171
32.5476190476	248
7.9313304721	23
32.829787234	344
38.3803680982	167
24.9351351351	140
50.694214876	61
28.8920676203	208
45.3838383838	478
46.0705882353	238
40.983908046	228
41.3166666667	60
60.6862745098	19
64.1363636364	80
35.9880952381	144
42.4117647059	45
40.6877637131	176
63.8758769563	2021
21.2376237624	86
27.8288973384	126
36.7711864407	194
35.2216494845	126
13.5230125523	37
26.3837209302	83
31.9073529412	408
27.8352941176	82
22.4444444444	0
79.0863874346	180
23.2898550725	54
59.1730769231	49
24.9250681199	801
20.3762376238	2
34.5742574257	45
44.4817073171	203
29.2626362735	403
61.5221843003	172
24.8033635188	357
52.842519685	127
29.3033175355	99
20.814516129	32
28.5	46
12.5	12
24.2647058824	74
16.7836538462	18
16.5727272727	12
26.8878504673	32
27.5327510917	334
22.1929824561	41
18.4248861912	245
28.612244898	56
38.5526315789	134
14.5890909091	30
41.9937402191	1115
27.3953488372	84
28.1418439716	155
34.2200956938	296
23.6081871345	142
19.875	57
19.642384106	93
36.3026548673	364
6.47881355932	16
18.2736030829	168
30.309352518	54
22.6763848397	116
15.835443038	80
32.3237410072	62
18.034965035	194
29.0818505338	306
24.6877637131	144
19.2752293578	133
17.3933333333	35
30.8245614035	21
56.6971830986	45
25.6120092379	199
27.568627451	52
31.5621301775	62
24.6339622642	84
25.6343545957	898
31.5070422535	93
20.573800738	116
14.7012658228	80
24.2913043478	109
14.6045548654	46
24.9885057471	77
26.4039548023	339
25.0676691729	72
22.5178571429	9
32.6618852459	158
22.09375	42
25.9440559441	61
19.2864792503	695
17.5044247788	6
25.4594594595	34
29.7972222222	151
22.4516728625	313
30.7306843267	198
25.8269689737	344
50.8953488372	112
18.9821428571	71
31.0	22
25.3518518519	47
22.7857142857	15
15.0544554455	36
13.4260089686	12
15.9642857143	27
18.5272727273	12
21.1898110107	216
20.1186440678	25
11.5465288035	164
25.520361991	65
23.0996784566	94
23.2283737024	52
32.4009360374	573
19.347826087	49
22.558573854	123
29.0391061453	338
16.2281690141	75
17.3086956522	30
11.2510373444	72
23.5264	161
11.347107438	12
11.791433892	122
24.4802631579	46
25.3801169591	120
16.2088452088	60
30.4527027027	39
18.2723112128	169
17.2745424293	215
17.1607515658	65
18.6006825939	61
15.1847133758	24
17.3333333333	13
45.3611111111	42
28.8917647059	110
26.8532110092	37
30.1506849315	37
24.361774744	104
17.0081300813	664
19.972972973	98
14.9380378657	77
14.1831683168	78
20.1115702479	81
12.7745098039	44
24.9421965318	83
22.6791946309	346
31.3203125	134
27.0462962963	71
25.2906309751	71
25.5278969957	72
18.4084507042	28
22.369189907	808
17.8070175439	1
20.0166666667	26
23.5778364116	114
20.417157275	276
14.6557692308	109
20.25382263	376
25.7372013652	88
17.7086956522	82
16.9016393443	16
28.2772277228	33
35.5315315315	36
17.7457627119	7
19.2457002457	46
14.7937219731	20
13.8898678414	26
31.525862069	27
16.8402948403	195
32.2259887006	35
13.0221238938	187
22.9255813953	78
25.7611464968	113
17.7889273356	22
41.6328538986	1123
21.1299435028	61
22.9054982818	159
25.5982241953	315
18.566572238	81
17.8744588745	53
18.4575569358	92
39.7	207
23.3449612403	22
24.9497206704	183
23.9802631579	42
17.0749279539	73
33.4813895782	153
32.8657718121	39
19.2474804031	133
28.1684210526	259
25.0479166667	131
25.411965812	118
13.3395061728	29
20.3174603175	18
45.4652777778	35
31.9342723005	302
31.6697247706	24
32.6577777778	42
23.8442906574	104
23.6020507812	813
13.3832599119	82
12.1601362862	62
18.2982005141	95
22.2520661157	90
18.7563352827	45
17.2065217391	39
17.3231788079	252
17.9709090909	39
15.4912280702	3
33.0076335878	86
29.8510638298	37
21.598540146	43
17.3540575916	623
16.8938053097	7
19.0743801653	30
19.2466843501	109
21.8890756303	275
19.9621212121	95
16.5799595142	243
43.2781456954	89
19.3948497854	83
21.6086956522	18
12.7635135135	27
9.41721854305	6
9.88079470199	2
18.4513184584	164
24.2477876106	12
31.7287128713	290
28.2056737589	42
19.9035532995	43
12.3930131004	20
24.0263929619	455
23.3111111111	60
38.1430976431	257
19.2389127325	153
23.5784313725	119
8.85064935065	8
20.7004219409	144
9.6512605042	36
16.6105263158	67
18.9912280702	20
13.9055793991	64
29.8344594595	101
49.1532258065	69
14.9375866852	95
34.5975232198	109
47.6118598383	65
14.6315789474	14
59.3473053892	69
16.3787375415	36
20.0078125	10
21.4046242775	59
39.5675332911	1233
15.16875	20
14.3890160183	54
24.3692946058	55
14.2331288344	35
19.4079254079	33
13.3852459016	23
21.2820512821	185
10.5670731707	15
39.9086021505	169
95.8831521739	216
7.91333333333	10
15.4344995932	395
38.2086720867	113
31.8718662953	127
15.442791762	151
23.517571885	75
15.1675749319	233
28.576419214	72
31.3370165746	88
12.2909090909	7
10.1214953271	16
5.86607142857	5
19.5666666667	98
14.9844559585	31
14.256281407	50
10.8130841121	7
18.7611940299	332
7.57419354839	6
12.090443686	123
8.3641025641	35
10.6549295775	73
9.47426470588	24
12.9207317073	481
12.6494252874	24
13.4561101549	79
13.7061611374	205
14.1812865497	65
24.4234693878	54
9.30371900826	63
16.5249537893	168
8.58333333333	18
8.68623481781	90
11.618705036	21
11.7575757576	34
9.09863013699	52
19.9568345324	33
8.57211538462	81
10.2257425743	119
24.8631790744	132
13.8785714286	15
12.8070175439	12
32.7074829932	39
11.9338624339	110
9.98095238095	25
10.2532188841	56
11.5945399393	565
13.1959798995	53
7.39716312057	41
10.1325966851	87
11.5136363636	45
12.8298319328	57
12.6012269939	23
11.0641562064	87
14.4337899543	39
26.1793478261	97
25.89958159	90
12.3333333333	39
8.31060606061	18
10.0738031915	412
19.7545454545	6
14.8457831325	150
15.9038984587	196
9.76875	72
12.6182618262	245
11.4628975265	26
7.47465437788	29
7.01652892562	5
10.3055555556	11
9.49137931034	18
23.1296296296	16
8.36476426799	11
7.63063063063	4
7.38095238095	5
10.0683760684	10
10.0473421927	72
10.8864864865	8
8.800330033	76
9.63677130045	28
10.2356687898	27
9.07692307692	16
12.013185288	311
9.00568181818	18
10.0981067126	78
9.83826879271	108
9.8433048433	40
7.49783549784	20
16.8246346555	65
20.8076923077	137
7.1512605042	17
9.26277372263	71
13.9801324503	24
6.53216374269	29
9.11166253102	36
16.8219178082	27
7.3625	83
10.3923205342	103
8.79833679834	27
16.6672413793	55
12.3885350318	19
8.62601626016	2
30.4492753623	30
8.13513513514	70
21.7787610619	20
13.5565217391	13
7.90169491525	34
10.3248803828	361
10.1422222222	45
8.36130136986	43
7.1364764268	19
10.0772357724	39
9.79684418146	34
8.40322580645	20
9.27260273973	141
11.1277372263	28
5.50847457627	1
11.951171875	48
9.47186147186	14
10.0827586207	23
11.1545396008	364
13.5135135135	8
14.5166666667	19
12.2439678284	69
14.0734323432	173
9.21722846442	47
16.1340839304	254
12.6229508197	52
8.38095238095	37
7.11666666667	5
14.6545454545	26
18.7980769231	4
9.31398416887	26
6.45238095238	4
6.83253588517	9
12.7037037037	12
11.6546572935	112
10.6228571429	12
7.71428571429	58
10.3891625616	18
12.8859060403	52
8.45945945946	13
14.3787878788	420
17.04	39
11.1306715064	69
12.5291970803	101
12.6952662722	69
6.6563876652	14
8.97592997812	46
10.2292020374	42
14.7522123894	12
16.2007722008	139
15.5486111111	34
7.2573964497	23
15.0313315927	65
21.0148148148	17
9.38392857143	98
9.19591141397	85
11.0281385281	33
12.9205175601	27
9.33566433566	7
11.1610169492	6
26.5757575758	25
