# Delays	Number of gates	Number of optimal gates	Difference
44.4885496183	22	19	3
13.4545454545	23	22	1
21.5945205479	52	42	10
28.2553191489	35	26	9
25.0837696335	27	23	4
34.0084602369	146	118	28
37.9064748201	28	22	6
18.1954624782	75	65	10
23.8522727273	28	26	2
42.0334728033	40	34	6
34.4948096886	45	36	9
67.7436170213	176	128	48
21.0532544379	30	25	5
31.6433333333	93	73	20
24.2820809249	105	88	17
22.217765043	56	43	13
35.5856697819	102	78	24
15.6995515695	54	48	6
34.4928571429	84	72	12
19.3053435115	31	27	4
28.7644110276	66	56	10
25.8275862069	21	17	4
36.4074074074	46	40	6
17.5153203343	59	51	8
31.4575163399	22	20	2
28.1323360184	130	108	22
25.6844547564	66	53	13
29.6174636175	66	53	13
26.3153846154	24	21	3
62.3106796117	15	12	3
43.3146067416	26	22	4
50.3369294606	194	153	41
17.1685393258	26	23	3
54.6620689655	27	23	4
33.0178571429	38	32	6
12.6307371349	182	164	18
43.6213592233	34	26	8
24.8834745763	82	74	8
15.7052238806	41	33	8
44.641025641	38	31	7
29.715370019	66	53	13
22.1387283237	29	25	4
40.702247191	36	31	5
22.1291989664	55	45	10
35.6156862745	69	56	13
29.5478723404	31	28	3
35.9824561404	19	15	4
19.5243986254	186	156	30
25.0363636364	17	16	1
32.5179856115	64	55	9
116.201550388	84	76	8
25.0549132948	57	45	12
34.189578714	125	104	21
28.0304054054	50	48	2
24.1704545455	32	24	8
54.5918367347	28	21	7
28.641509434	19	18	1
47.4642857143	22	22	0
9.84033613445	22	18	4
29.6363636364	69	55	14
54.8669527897	36	27	9
38.6652173913	38	28	10
158.97810219	75	53	22
48.6235476375	170	138	32
64.1733333333	25	20	5
61.4380952381	18	16	2
32.8914473684	83	72	11
64.4271356784	34	27	7
71.3088803089	47	36	11
38.2834890966	43	37	6
95.664882227	184	144	40
64.4651162791	40	31	9
54.9182282794	96	76	20
42.7521551724	109	87	22
51.3033707865	62	48	14
58.9803646564	107	84	23
35.2329059829	66	53	13
31.9471698113	32	29	3
31.4945454545	74	65	9
48.6044776119	27	23	4
51.6332288401	56	46	10
58.0446927374	56	49	7
43.3741496599	31	25	6
41.8046958378	137	111	26
43.2589073634	89	67	22
69.7550111359	77	59	18
49.4832402235	79	67	12
46.3629032258	22	17	5
95.8502994012	30	25	5
56.7930174564	86	73	13
22.9677419355	34	26	8
64.7073170732	32	25	7
56.3358490566	46	37	9
37.0588812561	291	225	66
40.8697478992	38	33	5
28.6791277259	96	76	20
36.0265780731	47	39	8
69.1473214286	48	35	13
39.7815275311	71	56	15
46.4404145078	31	27	4
55.5482625483	42	33	9
40.0264227642	139	119	20
96.9770642202	82	67	15
31.449339207	32	26	6
60.2148760331	26	21	5
26.6512083605	208	165	43
38.9051724138	18	15	3
47.6833333333	22	20	2
51.9790575916	68	48	20
44.8587041374	191	158	33
57.0800865801	81	69	12
28.9322033898	24	21	3
93.6483516484	52	44	8
46.5961538462	40	33	7
62.2676056338	27	24	3
54.954954955	23	20	3
55.8256880734	20	17	3
9.4	24	20	4
65.7174447174	71	54	17
82.3732718894	39	28	11
39.8837209302	38	28	10
96.5597484277	49	41	8
53.4455128205	175	135	40
56.7931034483	31	27	4
58.4901960784	18	15	3
27.358974359	81	69	12
49.4864864865	31	24	7
73.1797752809	54	38	16
51.0127388535	48	38	10
60.456286428	198	156	42
49.1358024691	33	28	5
72.6125	101	80	21
56.2920847269	121	89	32
51.1882716049	57	43	14
63.7130434783	114	85	29
34.8843537415	65	50	15
26.875	35	30	5
33.0076045627	77	66	11
44.4710144928	25	20	5
