# Delays	Number of extra gates	Number of optimal extra gates	Difference
44.4885496183	4	1	3
13.4545454545	3	2	1
21.5945205479	9	-1	10
28.2553191489	9	0	9
25.0837696335	5	1	4
34.0084602369	19	-9	28
37.9064748201	8	2	6
18.1954624782	8	-2	10
23.8522727273	7	5	2
42.0334728033	8	2	6
34.4948096886	8	-1	9
67.7436170213	75	27	48
21.0532544379	3	-2	5
31.6433333333	24	4	20
24.2820809249	17	0	17
22.217765043	13	0	13
35.5856697819	28	4	24
15.6995515695	5	-1	6
34.4928571429	19	7	12
19.3053435115	1	-3	4
28.7644110276	12	2	10
25.8275862069	1	-3	4
36.4074074074	9	3	6
17.5153203343	8	0	8
31.4575163399	3	1	2
28.1323360184	13	-9	22
25.6844547564	12	-1	13
29.6174636175	9	-4	13
26.3153846154	3	0	3
62.3106796117	1	-2	3
43.3146067416	5	1	4
50.3369294606	44	3	41
17.1685393258	4	1	3
54.6620689655	5	1	4
33.0178571429	10	4	6
12.6307371349	16	-2	18
43.6213592233	6	-2	8
24.8834745763	4	-4	8
15.7052238806	6	-2	8
44.641025641	10	3	7
29.715370019	8	-5	13
22.1387283237	6	2	4
40.702247191	7	2	5
22.1291989664	8	-2	10
35.6156862745	14	1	13
29.5478723404	3	0	3
35.9824561404	3	-1	4
19.5243986254	29	-1	30
25.0363636364	2	1	1
32.5179856115	13	4	9
116.201550388	31	23	8
25.0549132948	5	-7	12
34.189578714	22	1	21
28.0304054054	3	1	2
24.1704545455	6	-2	8
54.5918367347	9	2	7
28.641509434	1	0	1
47.4642857143	5	5	0
9.84033613445	2	-2	4
29.6363636364	5	-9	14
54.8669527897	7	-2	9
38.6652173913	6	-4	10
158.97810219	26	4	22
48.6235476375	19	-13	32
64.1733333333	6	1	5
61.4380952381	4	2	2
32.8914473684	16	5	11
64.4271356784	6	-1	7
71.3088803089	7	-4	11
38.2834890966	7	1	6
95.664882227	77	37	40
64.4651162791	12	3	9
54.9182282794	22	2	20
42.7521551724	13	-9	22
51.3033707865	17	3	14
58.9803646564	33	10	23
35.2329059829	10	-3	13
