# Percentage of extra gates	Percentage of success
0	0.968120805369
1	0.9451901566
2	0.914429530201
3	0.880872483221
4	0.841163310962
5	0.796979865772
6	0.768456375839
7	0.725950782998
8	0.697427293065
9	0.643736017897
10	0.613534675615
11	0.572147651007
12	0.538590604027
13	0.504474272931
14	0.46644295302
15	0.426733780761
16	0.397651006711
17	0.361856823266
18	0.331096196868
19	0.306487695749
20	0.279082774049
21	0.25
22	0.225391498881
23	0.211968680089
24	0.189597315436
25	0.168903803132
26	0.156599552573
27	0.142617449664
28	0.129753914989
29	0.120246085011
30	0.107382550336
31	0.0978747203579
32	0.0939597315436
33	0.0872483221477
34	0.07774049217
35	0.0704697986577
36	0.0643176733781
37	0.0581655480984
38	0.0581655480984
39	0.0480984340045
40	0.0469798657718
41	0.0441834451902
42	0.0391498881432
43	0.0369127516779
44	0.0357941834452
45	0.0302013422819
46	0.0296420581655
47	0.0274049217002
48	0.0262863534676
49	0.0251677852349
50	0.0234899328859
51	0.0223713646532
52	0.0218120805369
53	0.0212527964206
54	0.0201342281879
55	0.0206935123043
56	0.0195749440716
57	0.0184563758389
58	0.0190156599553
59	0.0184563758389
60	0.0178970917226
61	0.0178970917226
62	0.0162192393736
63	0.0151006711409
64	0.0156599552573
65	0.0156599552573
66	0.0145413870246
67	0.0151006711409
68	0.0145413870246
69	0.0145413870246
70	0.0139821029083
71	0.0139821029083
72	0.0128635346756
73	0.0128635346756
74	0.0128635346756
75	0.0128635346756
76	0.0128635346756
77	0.0123042505593
78	0.0123042505593
79	0.0123042505593
80	0.0123042505593
81	0.0123042505593
82	0.0123042505593
83	0.011744966443
84	0.0111856823266
85	0.011744966443
86	0.0111856823266
87	0.0106263982103
88	0.00615212527964
89	0.00167785234899
90	0.000559284116331
